userId:0,serialNumber:T2020080220343435672533950804183,cardNumber:6212261202030400000,dealTime:20200802210217420,InOrOut:0	
userId:1,serialNumber:T2020080220343443392669172035441,cardNumber:6212261202030400001,dealTime:20200802204528433,InOrOut:0	
userId:2,serialNumber:T2020080220343443365986516067346,cardNumber:6212261202030400002,dealTime:20200802211729433,InOrOut:0	
userId:3,serialNumber:T2020080220343443325836252329118,cardNumber:6212261202030400003,dealTime:20200802205758433,InOrOut:0	
userId:4,serialNumber:T2020080220343443388218706178570,cardNumber:6212261202030400004,dealTime:20200802211059433,InOrOut:0	
userId:5,serialNumber:T2020080220343443313441744880652,cardNumber:6212261202030400005,dealTime:20200802210603433,InOrOut:1	
userId:6,serialNumber:T2020080220343443334977238490978,cardNumber:6212261202030400006,dealTime:20200802210302433,InOrOut:0	
userId:7,serialNumber:T2020080220343443403242150607361,cardNumber:6212261202030400007,dealTime:20200802211419434,InOrOut:1	
userId:8,serialNumber:T2020080220343443455405769043343,cardNumber:6212261202030400008,dealTime:20200802212939434,InOrOut:0	
userId:9,serialNumber:T2020080220343443445042117653454,cardNumber:6212261202030400009,dealTime:20200802203518434,InOrOut:1	
userId:10,serialNumber:T2020080220343443479608966335335,cardNumber:6212261202030400010,dealTime:20200802211102434,InOrOut:1	
userId:11,serialNumber:T2020080220343443499659497657758,cardNumber:6212261202030400011,dealTime:20200802211241434,InOrOut:0	
userId:12,serialNumber:T2020080220343443469105191184986,cardNumber:6212261202030400012,dealTime:20200802213358434,InOrOut:0	
userId:13,serialNumber:T2020080220343443529897783513569,cardNumber:6212261202030400013,dealTime:20200802203859435,InOrOut:1	
userId:14,serialNumber:T2020080220343443589116001304964,cardNumber:6212261202030400014,dealTime:20200802210904435,InOrOut:0	
userId:15,serialNumber:T2020080220343443519486035360488,cardNumber:6212261202030400015,dealTime:20200802212003435,InOrOut:1	
userId:16,serialNumber:T2020080220343443539353082198084,cardNumber:6212261202030400016,dealTime:20200802213258435,InOrOut:0	
userId:17,serialNumber:T2020080220343443509708722872743,cardNumber:6212261202030400017,dealTime:20200802212405435,InOrOut:0	
userId:18,serialNumber:T2020080220343443559496447462497,cardNumber:6212261202030400018,dealTime:20200802204139436,InOrOut:1	
userId:19,serialNumber:T2020080220343443649691819737907,cardNumber:6212261202030400019,dealTime:20200802205602436,InOrOut:1	
userId:20,serialNumber:T2020080220343443676408791828112,cardNumber:6212261202030400020,dealTime:20200802204526436,InOrOut:0	
userId:21,serialNumber:T2020080220343443696640853086876,cardNumber:6212261202030400021,dealTime:20200802204736436,InOrOut:0	
userId:22,serialNumber:T2020080220343443666845197600958,cardNumber:6212261202030400022,dealTime:20200802204436436,InOrOut:0	
userId:23,serialNumber:T2020080220343443626460068095706,cardNumber:6212261202030400023,dealTime:20200802204809436,InOrOut:0	
userId:24,serialNumber:T2020080220343443686720269611034,cardNumber:6212261202030400024,dealTime:20200802205417436,InOrOut:1	
userId:25,serialNumber:T2020080220343443716493273382679,cardNumber:6212261202030400025,dealTime:20200802203820437,InOrOut:1	
userId:26,serialNumber:T2020080220343443736242945316441,cardNumber:6212261202030400026,dealTime:20200802211234437,InOrOut:0	
userId:27,serialNumber:T2020080220343443706829783213348,cardNumber:6212261202030400027,dealTime:20200802205617437,InOrOut:1	
userId:28,serialNumber:T2020080220343443756418894517670,cardNumber:6212261202030400028,dealTime:20200802204528437,InOrOut:0	
userId:29,serialNumber:T2020080220343443746389314694519,cardNumber:6212261202030400029,dealTime:20200802211522437,InOrOut:0	
userId:30,serialNumber:T2020080220343443772873093056115,cardNumber:6212261202030400030,dealTime:20200802203626437,InOrOut:0	
userId:31,serialNumber:T2020080220343443892788829539511,cardNumber:6212261202030400031,dealTime:20200802210417438,InOrOut:1	
userId:32,serialNumber:T2020080220343443862827894212172,cardNumber:6212261202030400032,dealTime:20200802203947438,InOrOut:0	
userId:33,serialNumber:T2020080220343443822660457272386,cardNumber:6212261202030400033,dealTime:20200802205541438,InOrOut:1	
userId:34,serialNumber:T2020080220343443882456722868986,cardNumber:6212261202030400034,dealTime:20200802203447438,InOrOut:1	
userId:35,serialNumber:T2020080220343443812407564179132,cardNumber:6212261202030400035,dealTime:20200802212044438,InOrOut:1	
userId:36,serialNumber:T2020080220343443832106606581814,cardNumber:6212261202030400036,dealTime:20200802212627438,InOrOut:0	
userId:37,serialNumber:T2020080220343443802111211529165,cardNumber:6212261202030400037,dealTime:20200802210421439,InOrOut:1	
userId:38,serialNumber:T2020080220343443952333224375355,cardNumber:6212261202030400038,dealTime:20200802211323439,InOrOut:1	
userId:39,serialNumber:T2020080220343443942696330685744,cardNumber:6212261202030400039,dealTime:20200802205045439,InOrOut:1	
userId:40,serialNumber:T2020080220343443978163471206896,cardNumber:6212261202030400040,dealTime:20200802205918439,InOrOut:0	
userId:41,serialNumber:T2020080220343443998261490544987,cardNumber:6212261202030400041,dealTime:20200802210056439,InOrOut:1	
userId:42,serialNumber:T2020080220343443968399724922292,cardNumber:6212261202030400042,dealTime:20200802211639439,InOrOut:1	
userId:43,serialNumber:T2020080220343444028159453106864,cardNumber:6212261202030400043,dealTime:20200802210800440,InOrOut:0	
userId:44,serialNumber:T2020080220343444088119413332755,cardNumber:6212261202030400044,dealTime:20200802212351440,InOrOut:0	
userId:45,serialNumber:T2020080220343444018716083292310,cardNumber:6212261202030400045,dealTime:20200802204026440,InOrOut:0	
userId:46,serialNumber:T2020080220343444038531131049798,cardNumber:6212261202030400046,dealTime:20200802211103440,InOrOut:0	
userId:47,serialNumber:T2020080220343444008250808096458,cardNumber:6212261202030400047,dealTime:20200802204248440,InOrOut:0	
userId:48,serialNumber:T2020080220343444058563114822915,cardNumber:6212261202030400048,dealTime:20200802205108440,InOrOut:1	
userId:49,serialNumber:T2020080220343444048448849339634,cardNumber:6212261202030400049,dealTime:20200802205028440,InOrOut:0	
userId:50,serialNumber:T2020080220343444171686638856488,cardNumber:6212261202030400050,dealTime:20200802205343441,InOrOut:1	
userId:51,serialNumber:T2020080220343444191634292098530,cardNumber:6212261202030400051,dealTime:20200802204123441,InOrOut:1	
userId:52,serialNumber:T2020080220343444161301342227935,cardNumber:6212261202030400052,dealTime:20200802205009441,InOrOut:1	
userId:53,serialNumber:T2020080220343444121193415370366,cardNumber:6212261202030400053,dealTime:20200802210854441,InOrOut:1	
userId:54,serialNumber:T2020080220343444181184258099409,cardNumber:6212261202030400054,dealTime:20200802204048441,InOrOut:1	
userId:55,serialNumber:T2020080220343444111806982527655,cardNumber:6212261202030400055,dealTime:20200802205712441,InOrOut:0	
userId:56,serialNumber:T2020080220343444131840630549883,cardNumber:6212261202030400056,dealTime:20200802211614442,InOrOut:1	
userId:57,serialNumber:T2020080220343444201869397899928,cardNumber:6212261202030400057,dealTime:20200802205851442,InOrOut:1	
userId:58,serialNumber:T2020080220343444251273957961731,cardNumber:6212261202030400058,dealTime:20200802204201442,InOrOut:0	
userId:59,serialNumber:T2020080220343444241455568601676,cardNumber:6212261202030400059,dealTime:20200802205433442,InOrOut:0	
userId:60,serialNumber:T2020080220343444273617482667876,cardNumber:6212261202030400060,dealTime:20200802205203442,InOrOut:0	
userId:61,serialNumber:T2020080220343444293788949481529,cardNumber:6212261202030400061,dealTime:20200802204505442,InOrOut:0	
userId:62,serialNumber:T2020080220343444263413766441977,cardNumber:6212261202030400062,dealTime:20200802212105442,InOrOut:1	
userId:63,serialNumber:T2020080220343444323200979105260,cardNumber:6212261202030400063,dealTime:20200802203502443,InOrOut:1	
userId:64,serialNumber:T2020080220343444383799458657870,cardNumber:6212261202030400064,dealTime:20200802213228443,InOrOut:0	
userId:65,serialNumber:T2020080220343444313608660119949,cardNumber:6212261202030400065,dealTime:20200802211643443,InOrOut:0	
userId:66,serialNumber:T2020080220343444333546161737158,cardNumber:6212261202030400066,dealTime:20200802203920443,InOrOut:0	
userId:67,serialNumber:T2020080220343444303241647353630,cardNumber:6212261202030400067,dealTime:20200802211730443,InOrOut:1	
userId:68,serialNumber:T2020080220343444453392835414664,cardNumber:6212261202030400068,dealTime:20200802205600444,InOrOut:1	
userId:69,serialNumber:T2020080220343444443516213317764,cardNumber:6212261202030400069,dealTime:20200802203826444,InOrOut:1	
userId:70,serialNumber:T2020080220343444470855440739280,cardNumber:6212261202030400070,dealTime:20200802211600444,InOrOut:0	
userId:71,serialNumber:T2020080220343444490386401517312,cardNumber:6212261202030400071,dealTime:20200802204345444,InOrOut:1	
userId:72,serialNumber:T2020080220343444460107865174175,cardNumber:6212261202030400072,dealTime:20200802205713444,InOrOut:1	
userId:73,serialNumber:T2020080220343444420821042339893,cardNumber:6212261202030400073,dealTime:20200802204552444,InOrOut:0	
userId:74,serialNumber:T2020080220343444580400674307922,cardNumber:6212261202030400074,dealTime:20200802213156445,InOrOut:0	
userId:75,serialNumber:T2020080220343444510897407372566,cardNumber:6212261202030400075,dealTime:20200802212843445,InOrOut:0	
userId:76,serialNumber:T2020080220343444530855661179355,cardNumber:6212261202030400076,dealTime:20200802203546445,InOrOut:0	
userId:77,serialNumber:T2020080220343444500555831063609,cardNumber:6212261202030400077,dealTime:20200802205440445,InOrOut:1	
